1.8,172,14.5,-0.4,32.3,9.7,0.021,0.046,0.027,0.019,0.45,658.0666667
2.5,230,17.4,-0.4,25.9,8.3,0.033,0.03,0.02,0.01,0.29,666.0333333
3.3,188,19.2,-0.4,26.5,10.9,0.038,0.027,0.018,0.009,0.21,720.7333333
3.3,248,20.9,-0.5,22.5,7.6,0.049,0.012,0.009,0.003,0.13,773.8305085
4.5,288,22,-0.5,18.4,6.8,0.054,0.009,0.007,0.002,0.11,807.3333333
4.9,342,22.7,-0.3,17.5,6.2,0.055,0.009,0.007,0.002,0.09,1442.95
4.7,326,23,-0.4,12.5,3.8,0.059,0.004,0.003,0.001,0.07,978.7413793
4.5,321,23.2,-0.5,10.7,3.2,0.056,0.004,0.003,0.001,0.07,974.3559322
4.6,313,22.7,-0.5,12.8,3.4,0.053,0.004,0.003,0.001,0.07,883.5
2.3,315,22.2,-0.4,15.5,3.4,0.051,0.007,0.006,0,0.09,874.4666667
1,123,19.5,-0.4,25.9,6.4,0.015,0.04,0.035,0.005,0.39,858.2833333
1.9,74,17.2,-0.4,23.1,5.4,0.03,0.022,0.021,0.001,0.21,952.15
2.7,85,16.5,-0.5,22.4,3.2,0.043,0.008,0.007,0,0.12,1103.4
2,139,15.9,-0.6,23.2,3.5,0.039,0.01,0.01,0,0.12,1530.266667
2.7,143,15,-0.6,24.5,5,0.028,0.018,0.017,0.001,0.22,1119.338983
2,112,13.8,-0.5,26,5.5,0.026,0.019,0.017,0.001,0.21,1057.95
2.2,155,12.3,-0.6,29.8,4.6,0.03,0.01,0.01,0,0.11,940.5333333
1.5,147,11.4,-0.6,32.7,4.7,0.023,0.015,0.014,0.001,0.15,974.0333333
1,162,10.7,-0.6,36,4.3,0.023,0.013,0.012,0.001,0.11,815.2166667
2.7,160,11.1,-0.5,31.9,5,0.023,0.017,0.017,0.001,0.09,623.6333333
1.9,136,10.4,-0.6,40,6,0.014,0.025,0.021,0.003,0.19,629.2333333
0.7,130,9.3,-0.5,42.9,6.3,0.009,0.037,0.026,0.01,0.32,723.6833333
1,126,9.3,-0.4,44.5,8.8,0.002,0.068,0.036,0.032,0.74,772.1
0.8,125,12.5,-0.3,38.8,10.6,0.009,0.071,0.033,0.038,0.83,726.05
1.3,176,16.7,-0.4,24,7.5,0.026,0.035,0.022,0.012,0.4,810.6949153
1.8,216,19,-0.4,24.5,11.1,0.029,0.033,0.021,0.012,0.36,816.8333333
2.5,276,22.1,-0.4,21,10.5,0.037,0.028,0.019,0.009,0.3,775.6666667
3.2,287,23.9,-0.4,14.8,8.7,0.045,0.022,0.016,0.006,0.21,924.3333333
4,315,25.1,-0.3,11.7,6.5,0.054,0.011,0.009,0.002,0.13,1053.283333
3.6,4,26.4,-0.1,11.8,7.2,0.057,0.012,0.009,0.003,0.12,1499.966102
3.2,26,26.9,-0.1,10.9,7.4,0.061,0.011,0.009,0.002,0.12,1195.316667
3.4,337,27.1,-0.1,10.3,6.2,0.06,0.008,0.007,0.001,0.11,973.5932203
3.3,294,26.6,-0.4,10.1,4.1,0.054,0.003,0.003,0,0.06,1010.016667
1.1,17,26.2,-0.4,11.4,4.2,0.045,0.007,0.006,0,0.13,1020.474576
2.1,111,22.4,-0.3,24,9.4,0.013,0.044,0.035,0.009,0.46,988.3
4,106,20.3,-0.4,22.2,4.7,0.03,0.016,0.013,0.002,0.19,1065.916667
2.5,148,18.9,-0.3,25.4,5.3,0.018,0.024,0.021,0.003,0.28,1253.59322
1.6,146,17.9,-0.2,26.5,7.5,0.012,0.032,0.026,0.006,0.42,1674.95
2.4,137,17.4,-0.3,27.6,4.7,0.022,0.015,0.014,0.001,0.2,1544.016667
2.8,144,15.9,-0.4,34.6,5.7,0.012,0.026,0.022,0.004,0.27,1433.033333
1,135,14.5,-0.5,37.1,4.9,0.017,0.012,0.012,0.001,0.16,1253.4
0.7,157,13.2,-0.5,40.9,5.7,0.016,0.012,0.012,0.001,0.15,1135.416667
1.6,145,13.3,-0.5,38.4,5.1,0.017,0.013,0.012,0,0.1,847.4666667
1.2,133,12.4,-0.5,41.4,5,0.017,0.013,0.012,0.001,0.09,969.85
1.7,153,12.1,-0.4,42.4,6,0.015,0.017,0.015,0.002,0.14,1105.912281
2,130,12.8,-0.4,40.5,9.3,0.007,0.039,0.026,0.013,0.34,937.55
1.1,137,11,-0.4,46.9,8.4,0.003,0.051,0.03,0.021,0.59,1108.4
1.4,135,14.4,-0.2,40.6,11.4,0.006,0.072,0.032,0.04,0.79,1022.616667
3.9,160,17.6,-0.3,33.7,13.7,0.019,0.038,0.022,0.016,0.4,1046.016667
3.2,172,20.9,-0.3,31.1,15.4,0.024,0.035,0.021,0.014,0.35,1021.508475
3.4,160,23.7,-0.3,24.8,12.5,0.034,0.024,0.016,0.008,0.25,1034.55
3.4,170,26.6,-0.3,20.8,11.8,0.042,0.018,0.013,0.005,0.21,1041.118644
3.9,195,28.7,-0.3,13.7,9.7,0.05,0.012,0.009,0.003,0.14,1154.3
4,212,30,-0.3,8.6,5.6,0.049,0.006,0.005,0.002,0.09,1547.283333
4.7,171,30.3,-0.4,6.8,4.8,0.049,0.006,0.004,0.001,0.09,1320.683333
3.8,176,30.5,-0.4,6.3,4.2,0.053,0.005,0.004,0.001,0.09,1144.473684
1.6,326,29.7,-0.4,9.5,5,0.044,0.011,0.01,0.001,0.13,1178.719298
0.9,45,27.5,-0.3,21.1,8.9,0.02,0.032,0.029,0.003,0.49,1118.881356
2.5,86,24.5,-0.2,23.5,9.9,0.022,0.031,0.028,0.003,0.43,1137.559322
2.9,108,23.5,-0.3,17.9,5,0.033,0.016,0.015,0.001,0.23,1236.316667
3.7,121,22.4,-0.4,18.6,5.5,0.036,0.013,0.012,0.001,0.2,1369.45
2.3,119,21.1,-0.3,21.9,7.4,0.019,0.029,0.025,0.003,0.39,1702.65
2.8,129,20.3,-0.3,20.4,6.2,0.024,0.02,0.017,0.003,0.31,1412.083333
2.1,137,19.4,-0.3,24,6.7,0.023,0.015,0.014,0.001,0.27,1135.5
